Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D6,LED,LED_0805_2012Metric,235.5,-204,0,top
D6,LED,LED_0805_2012Metric,235.5,-156,0,top
D6,LED,LED_0805_2012Metric,137,-156,0,top
D6,LED,LED_0805_2012Metric,38.5,-156,0,top
D6,LED,LED_0805_2012Metric,235.5,-108,0,top
D6,LED,LED_0805_2012Metric,137,-108,0,top
D6,LED,LED_0805_2012Metric,235.5,-60,0,top
D6,LED,LED_0805_2012Metric,137,-60,0,top
D6,LED,LED_0805_2012Metric,38.5,-60,0,top
D6,LED,LED_0805_2012Metric,38.5,-108,0,top
D6,LED,LED_0805_2012Metric,235.5,-12,0,top
D6,LED,LED_0805_2012Metric,137,-12,0,top
D7,LED,LED_0805_2012Metric,228.5,-209,-90,top
D7,LED,LED_0805_2012Metric,130,-209,-90,top
D7,LED,LED_0805_2012Metric,31.5,-209,-90,top
D7,LED,LED_0805_2012Metric,228.5,-161,-90,top
D7,LED,LED_0805_2012Metric,31.5,-65,-90,top
D7,LED,LED_0805_2012Metric,130,-161,-90,top
D7,LED,LED_0805_2012Metric,31.5,-161,-90,top
D7,LED,LED_0805_2012Metric,228.5,-113,-90,top
D7,LED,LED_0805_2012Metric,130,-113,-90,top
D7,LED,LED_0805_2012Metric,31.5,-113,-90,top
D7,LED,LED_0805_2012Metric,228.5,-65,-90,top
D7,LED,LED_0805_2012Metric,130,-65,-90,top
D7,LED,LED_0805_2012Metric,228.5,-17,-90,top
D7,LED,LED_0805_2012Metric,130,-17,-90,top
D7,LED,LED_0805_2012Metric,31.5,-17,-90,top
D8,LED,LED_0805_2012Metric,137,-213,0,top
D8,LED,LED_0805_2012Metric,38.5,-213,0,top
D8,LED,LED_0805_2012Metric,235.5,-165,0,top
D8,LED,LED_0805_2012Metric,137,-165,0,top
D8,LED,LED_0805_2012Metric,38.5,-165,0,top
D8,LED,LED_0805_2012Metric,235.5,-117,0,top
D8,LED,LED_0805_2012Metric,137,-117,0,top
D8,LED,LED_0805_2012Metric,38.5,-117,0,top
D8,LED,LED_0805_2012Metric,235.5,-69,0,top
D8,LED,LED_0805_2012Metric,137,-69,0,top
D8,LED,LED_0805_2012Metric,38.5,-69,0,top
D8,LED,LED_0805_2012Metric,235.5,-21,0,top
D8,LED,LED_0805_2012Metric,137,-21,0,top
D8,LED,LED_0805_2012Metric,38.5,-21,0,top
D8,LED,LED_0805_2012Metric,235.5,-213,0,top
D9,LED,LED_0805_2012Metric,228.5,-218,-90,top
D9,LED,LED_0805_2012Metric,31.5,-26,-90,top
D9,LED,LED_0805_2012Metric,130,-26,-90,top
D9,LED,LED_0805_2012Metric,228.5,-26,-90,top
D9,LED,LED_0805_2012Metric,31.5,-74,-90,top
D9,LED,LED_0805_2012Metric,130,-74,-90,top
D9,LED,LED_0805_2012Metric,228.5,-74,-90,top
D9,LED,LED_0805_2012Metric,31.5,-122,-90,top
D9,LED,LED_0805_2012Metric,130,-122,-90,top
D9,LED,LED_0805_2012Metric,228.5,-122,-90,top
D9,LED,LED_0805_2012Metric,31.5,-170,-90,top
D9,LED,LED_0805_2012Metric,130,-170,-90,top
D9,LED,LED_0805_2012Metric,228.5,-170,-90,top
D9,LED,LED_0805_2012Metric,31.5,-218,-90,top
D9,LED,LED_0805_2012Metric,130,-218,-90,top
D10,LED,LED_0805_2012Metric,137,-126,0,top
D10,LED,LED_0805_2012Metric,235.5,-222,0,top
D10,LED,LED_0805_2012Metric,137,-222,0,top
D10,LED,LED_0805_2012Metric,38.5,-222,0,top
D10,LED,LED_0805_2012Metric,235.5,-174,0,top
D10,LED,LED_0805_2012Metric,137,-174,0,top
D10,LED,LED_0805_2012Metric,38.5,-174,0,top
D10,LED,LED_0805_2012Metric,235.5,-126,0,top
D10,LED,LED_0805_2012Metric,38.5,-126,0,top
D10,LED,LED_0805_2012Metric,235.5,-78,0,top
D10,LED,LED_0805_2012Metric,137,-78,0,top
D10,LED,LED_0805_2012Metric,38.5,-78,0,top
D10,LED,LED_0805_2012Metric,235.5,-30,0,top
D10,LED,LED_0805_2012Metric,137,-30,0,top
D10,LED,LED_0805_2012Metric,38.5,-30,0,top
D11,LED_G,LED_0805_2012Metric,213.5,-83,0,top
D11,LED_G,LED_0805_2012Metric,115,-83,0,top
D11,LED_G,LED_0805_2012Metric,16.5,-131,0,top
D11,LED_G,LED_0805_2012Metric,115,-131,0,top
D11,LED_G,LED_0805_2012Metric,213.5,-131,0,top
D11,LED_G,LED_0805_2012Metric,16.5,-179,0,top
D11,LED_G,LED_0805_2012Metric,115,-179,0,top
D11,LED_G,LED_0805_2012Metric,213.5,-179,0,top
D11,LED_G,LED_0805_2012Metric,16.5,-227,0,top
D11,LED_G,LED_0805_2012Metric,115,-227,0,top
D11,LED_G,LED_0805_2012Metric,213.5,-227,0,top
D11,LED_G,LED_0805_2012Metric,16.5,-35,0,top
D11,LED_G,LED_0805_2012Metric,115,-35,0,top
D11,LED_G,LED_0805_2012Metric,213.5,-35,0,top
D11,LED_G,LED_0805_2012Metric,16.5,-83,0,top
D12,LED,LED_0805_2012Metric,159.092,-29.41,-90,top
D12,LED,LED_0805_2012Metric,60.592,-29.41,-90,top
D12,LED,LED_0805_2012Metric,257.592,-221.41,-90,top
D12,LED,LED_0805_2012Metric,159.092,-221.41,-90,top
D12,LED,LED_0805_2012Metric,60.592,-221.41,-90,top
D12,LED,LED_0805_2012Metric,257.592,-173.41,-90,top
D12,LED,LED_0805_2012Metric,159.092,-173.41,-90,top
D12,LED,LED_0805_2012Metric,60.592,-173.41,-90,top
D12,LED,LED_0805_2012Metric,257.592,-125.41,-90,top
D12,LED,LED_0805_2012Metric,159.092,-125.41,-90,top
D12,LED,LED_0805_2012Metric,60.592,-125.41,-90,top
D12,LED,LED_0805_2012Metric,257.592,-77.41,-90,top
D12,LED,LED_0805_2012Metric,159.092,-77.41,-90,top
D12,LED,LED_0805_2012Metric,60.592,-77.41,-90,top
D12,LED,LED_0805_2012Metric,257.592,-29.41,-90,top
D13,LED_G,LED_0805_2012Metric,231.5,-227,180,top
D13,LED_G,LED_0805_2012Metric,133,-227,180,top
D13,LED_G,LED_0805_2012Metric,34.5,-227,180,top
D13,LED_G,LED_0805_2012Metric,231.5,-179,180,top
D13,LED_G,LED_0805_2012Metric,133,-179,180,top
D13,LED_G,LED_0805_2012Metric,34.5,-179,180,top
D13,LED_G,LED_0805_2012Metric,231.5,-131,180,top
D13,LED_G,LED_0805_2012Metric,133,-131,180,top
D13,LED_G,LED_0805_2012Metric,34.5,-131,180,top
D13,LED_G,LED_0805_2012Metric,231.5,-83,180,top
D13,LED_G,LED_0805_2012Metric,133,-83,180,top
D13,LED_G,LED_0805_2012Metric,34.5,-83,180,top
D13,LED_G,LED_0805_2012Metric,231.5,-35,180,top
D13,LED_G,LED_0805_2012Metric,133,-35,180,top
D13,LED_G,LED_0805_2012Metric,34.5,-35,180,top
D14,LED_G,LED_0805_2012Metric,52.5,-131,0,top
D14,LED_G,LED_0805_2012Metric,151,-227,0,top
D14,LED_G,LED_0805_2012Metric,249.5,-227,0,top
D14,LED_G,LED_0805_2012Metric,52.5,-227,0,top
D14,LED_G,LED_0805_2012Metric,249.5,-179,0,top
D14,LED_G,LED_0805_2012Metric,151,-179,0,top
D14,LED_G,LED_0805_2012Metric,52.5,-179,0,top
D14,LED_G,LED_0805_2012Metric,249.5,-131,0,top
D14,LED_G,LED_0805_2012Metric,151,-131,0,top
D14,LED_G,LED_0805_2012Metric,249.5,-83,0,top
D14,LED_G,LED_0805_2012Metric,151,-83,0,top
D14,LED_G,LED_0805_2012Metric,52.5,-83,0,top
D14,LED_G,LED_0805_2012Metric,249.5,-35,0,top
D14,LED_G,LED_0805_2012Metric,151,-35,0,top
D14,LED_G,LED_0805_2012Metric,52.5,-35,0,top
D15,LED_G,LED_0805_2012Metric,60.592,-9.09,0,top
D15,LED_G,LED_0805_2012Metric,257.592,-201.09,0,top
D15,LED_G,LED_0805_2012Metric,60.592,-201.09,0,top
D15,LED_G,LED_0805_2012Metric,159.092,-201.09,0,top
D15,LED_G,LED_0805_2012Metric,159.092,-9.09,0,top
D15,LED_G,LED_0805_2012Metric,257.592,-9.09,0,top
D15,LED_G,LED_0805_2012Metric,60.592,-57.09,0,top
D15,LED_G,LED_0805_2012Metric,159.092,-57.09,0,top
D15,LED_G,LED_0805_2012Metric,257.592,-57.09,0,top
D15,LED_G,LED_0805_2012Metric,60.592,-105.09,0,top
D15,LED_G,LED_0805_2012Metric,159.092,-105.09,0,top
D15,LED_G,LED_0805_2012Metric,257.592,-105.09,0,top
D15,LED_G,LED_0805_2012Metric,60.592,-153.09,0,top
D15,LED_G,LED_0805_2012Metric,159.092,-153.09,0,top
D15,LED_G,LED_0805_2012Metric,257.592,-153.09,0,top
D17,LED_G,LED_0805_2012Metric,170.268,-226.998,0,top
D17,LED_G,LED_0805_2012Metric,71.768,-226.998,0,top
D17,LED_G,LED_0805_2012Metric,268.768,-178.998,0,top
D17,LED_G,LED_0805_2012Metric,170.268,-178.998,0,top
